multiplier,family_examples
2.5,"Scientists, researchers, actuaries"
2.0,"Engineers, IT professionals, designers, media"
1.8,"Directors, business professionals, HR"
1.5,"Teachers, health associates, other professionals"
1.3,"Sales, customer service, protective services"
1.2,"Admin, secretarial, leisure services"
1.1,"Skilled trades, caring roles"
1.0,"Operatives, drivers, elementary"
