occ_code,occ_title,group_code,group_name,employment,adoption_discount,amplification_multiplier,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18
27-2021,Athletes and Sports Competitors,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,6,1,8,6,3,8,1,11,1,9,4,8,4,5,10,1,9,5
27-2022,Coaches and Scouts,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,9,1,7,8,1,9,1,11,1,7,4,8,4,7,13,2,3,4
27-2023,"Umpires, Referees, and Other Sports Officials",27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,7,2,12,3,1,12,2,15,1,9,1,7,5,7,8,1,3,4
27-2031,Dancers,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,1,2,12,6,0,9,0,23,1,3,6,4,3,4,7,2,4,13
27-2032,Choreographers,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,4,1,5,8,0,6,1,17,1,3,7,7,5,9,16,3,1,6
27-2041,Music Directors and Composers,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,9,1,9,9,1,8,1,18,1,4,7,6,4,6,12,1,2,1
27-2042,Musicians and Singers,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,8,1,9,6,1,14,1,19,1,6,6,6,3,3,7,2,4,3
27-3011,Broadcast Announcers and Radio Disc Jockeys,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,10,2,9,6,2,12,2,21,1,7,6,8,2,3,6,0,2,1
27-3023,"News Analysts, Reporters, and Journalists",27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,11,2,12,7,2,10,2,25,2,7,4,4,3,2,5,0,1,1
27-3031,Public Relations Specialists,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,8,2,9,7,1,6,1,20,1,8,5,9,6,4,12,1,0,0
27-3041,Editors,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,14,2,11,7,1,9,1,19,1,7,5,7,3,4,8,0,1,0
27-3042,Technical Writers,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,16,2,12,7,2,10,2,13,2,10,5,5,3,3,5,1,2,0
27-3043,Writers and Authors,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,11,1,14,9,1,5,2,16,1,5,8,9,6,3,7,1,1,0
27-3091,Interpreters and Translators,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,8,2,10,5,1,10,2,21,3,8,4,6,3,5,7,2,2,1
27-3092,Court Reporters and Simultaneous Captioners,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,25,2,15,10,2,6,5,16,0,3,0,3,0,1,2,2,6,2
27-4011,Audio and Video Technicians,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,11,1,9,8,2,10,2,11,1,8,6,6,1,3,6,1,11,3
27-4012,Broadcast Technicians,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,11,1,8,5,2,9,2,11,1,7,4,5,3,4,9,1,14,3
27-4014,Sound Engineering Technicians,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,12,1,9,7,1,8,2,15,1,5,7,7,4,3,7,1,9,1
27-4021,Photographers,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,12,1,7,7,2,7,1,16,0,5,5,6,7,4,9,1,7,3
27-4031,"Camera Operators, Television, Video, and Film",27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,8,2,9,4,2,12,2,13,0,4,6,7,3,4,5,3,14,2
27-4032,Film and Video Editors,27,"Arts, Design, Entertainment, Sports, and Media",0,0.5,2.0,12,1,11,6,2,10,2,12,1,8,7,7,3,3,7,1,6,1
29-1011,Chiropractors,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,8,5,1,8,2,14,1,7,2,7,5,3,11,5,5,4
29-1021,"Dentists, General",29,Healthcare Practitioners and Technical,0,0.55,1.5,8,1,8,6,2,9,2,12,1,8,3,6,4,3,13,4,9,1
29-1022,Oral and Maxillofacial Surgeons,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,8,4,3,9,2,13,1,9,2,6,3,5,11,5,7,2
29-1023,Orthodontists,29,Healthcare Practitioners and Technical,0,0.55,1.5,7,1,8,6,1,9,2,15,1,6,3,7,4,6,15,3,5,1
29-1024,Prosthodontists,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,7,5,2,8,2,10,1,8,5,6,4,5,11,4,9,3
29-1031,Dietitians and Nutritionists,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,11,6,1,7,2,14,2,11,2,7,3,7,6,6,1,1
29-1041,Optometrists,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,9,4,2,9,2,11,2,9,2,7,3,5,10,5,6,1
29-1051,Pharmacists,29,Healthcare Practitioners and Technical,0,0.55,1.5,14,1,10,5,2,9,3,12,1,9,1,6,3,4,10,3,6,1
29-1071,Physician Assistants,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,10,4,2,11,2,14,1,10,2,6,2,5,6,5,7,2
29-1081,Podiatrists,29,Healthcare Practitioners and Technical,0,0.55,1.5,13,1,8,5,2,9,3,14,1,7,3,6,1,4,10,6,5,2
29-1122,Occupational Therapists,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,8,7,1,9,2,14,1,8,3,8,3,7,6,5,4,4
29-1123,Physical Therapists,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,8,5,1,8,2,16,1,8,3,7,2,6,7,5,6,4
29-1124,Radiation Therapists,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,8,4,2,10,2,13,1,6,3,4,2,4,7,4,15,4
29-1125,Recreational Therapists,29,Healthcare Practitioners and Technical,0,0.55,1.5,8,1,8,8,1,7,2,13,1,5,5,6,4,6,11,6,4,4
29-1126,Respiratory Therapists,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,9,6,2,9,2,11,1,8,2,6,2,4,7,5,12,3
29-1127,Speech-Language Pathologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,14,1,9,7,1,9,3,14,1,10,3,9,2,6,4,4,2,1
29-1128,Exercise Physiologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,9,5,1,6,2,18,2,8,2,6,3,6,7,5,5,4
29-1129,Art Therapists,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,8,6,1,9,2,15,1,7,6,8,4,6,7,6,3,1
29-1131,Veterinarians,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,11,3,2,11,2,19,2,7,1,8,4,3,7,3,5,2
29-1141,Registered Nurses,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,9,5,1,9,2,14,1,9,3,6,3,6,9,5,5,2
29-1151,Nurse Anesthetists,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,8,4,2,10,2,11,1,9,2,6,3,5,10,4,10,3
29-1161,Nurse Midwives,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,9,5,1,10,2,16,1,8,2,6,4,5,9,5,4,2
29-1171,Nurse Practitioners,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,9,5,1,10,2,17,1,10,2,6,3,6,8,4,2,2
29-1181,Audiologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,8,5,1,7,2,17,1,8,2,5,5,5,8,4,8,1
29-1211,Anesthesiologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,8,5,3,10,2,11,1,10,2,7,2,4,8,5,10,2
29-1213,Dermatologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,9,6,1,8,3,17,2,6,1,7,2,5,10,6,2,2
29-1214,Emergency Medicine Physicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,10,4,1,9,2,16,2,9,2,6,3,5,9,5,3,2
29-1215,Family Medicine Physicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,12,4,1,11,3,20,2,10,1,7,2,1,4,7,2,0
29-1216,General Internal Medicine Physicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,10,7,2,10,3,14,2,9,2,6,2,3,6,6,4,2
29-1217,Neurologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,9,6,2,11,2,11,2,11,3,7,3,5,9,4,2,1
29-1218,Obstetricians and Gynecologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,8,5,2,9,2,15,1,10,2,7,2,6,8,5,5,2
29-1221,"Pediatricians, General",29,Healthcare Practitioners and Technical,0,0.55,1.5,11,2,11,2,1,9,3,18,2,6,1,8,2,4,10,6,3,1
29-1222,"Physicians, Pathologists",29,Healthcare Practitioners and Technical,0,0.55,1.5,15,1,10,5,2,11,2,11,1,11,3,6,2,4,7,2,6,1
29-1223,Psychiatrists,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,11,4,1,10,2,16,1,9,3,8,4,5,8,6,1,0
29-1224,Radiologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,9,6,2,11,2,13,2,10,2,6,1,4,6,5,7,2
29-1229,Allergists and Immunologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,8,5,2,10,2,13,1,10,2,7,3,5,9,5,4,2
29-1241,"Ophthalmologists, Except Pediatric",29,Healthcare Practitioners and Technical,0,0.55,1.5,8,1,8,5,3,11,2,12,1,10,3,7,4,3,9,4,7,2
29-1291,Acupuncturists,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,11,6,1,8,3,17,1,8,3,7,3,4,4,7,3,2
29-1292,Dental Hygienists,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,7,5,2,9,2,15,1,7,3,6,5,3,7,5,10,3
29-1299,Naturopathic Physicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,10,4,1,9,3,16,2,8,2,7,3,5,7,6,3,1
29-2011,Medical and Clinical Laboratory Technologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,13,2,10,5,2,10,3,9,1,9,2,6,1,5,8,1,12,1
29-2012,Medical and Clinical Laboratory Technicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,9,5,2,11,2,9,1,8,2,7,1,5,7,1,15,2
29-2031,Cardiovascular Technologists and Technicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,8,4,2,10,3,13,1,8,2,5,1,3,5,6,13,3
29-2032,Diagnostic Medical Sonographers,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,9,4,2,8,2,15,1,7,2,5,3,4,6,5,11,4
29-2033,Nuclear Medicine Technologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,13,1,9,5,2,8,2,13,1,6,2,4,2,4,8,5,12,3
29-2034,Radiologic Technologists and Technicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,8,4,1,9,2,13,1,5,2,4,2,5,6,7,15,5
29-2035,Magnetic Resonance Imaging Technologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,13,1,7,4,1,8,2,12,1,8,3,5,2,6,8,5,12,2
29-2036,Medical Dosimetrists,29,Healthcare Practitioners and Technical,0,0.55,1.5,18,1,10,8,2,9,3,10,1,10,5,7,1,3,6,2,4,0
29-2051,Dietetic Technicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,8,1,8,6,2,11,2,9,1,10,3,5,3,5,10,4,9,3
29-2052,Pharmacy Technicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,13,1,8,5,2,10,2,15,1,9,1,4,4,5,8,3,7,2
29-2053,Psychiatric Technicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,2,9,6,0,10,3,12,1,6,2,4,7,6,8,8,4,3
29-2055,Surgical Technologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,5,1,9,5,2,11,1,11,1,7,3,5,2,6,8,5,14,4
29-2056,Veterinary Technologists and Technicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,8,1,8,5,2,11,2,14,1,6,2,4,3,4,7,5,12,5
29-2057,Ophthalmic Medical Technicians,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,11,4,1,7,3,19,1,6,1,3,3,6,8,6,7,1
29-2061,Licensed Practical and Licensed Vocational Nurses,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,9,7,2,10,2,11,1,7,2,6,3,5,10,5,6,3
29-2081,"Opticians, Dispensing",29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,7,4,2,7,2,17,1,8,3,5,6,5,10,3,7,1
29-2091,Orthotists and Prosthetists,29,Healthcare Practitioners and Technical,0,0.55,1.5,12,1,7,6,2,7,2,12,1,7,5,6,3,4,8,4,10,3
29-2092,Hearing Aid Specialists,29,Healthcare Practitioners and Technical,0,0.55,1.5,11,1,9,5,2,8,2,16,1,6,3,6,6,2,5,6,10,1
29-2099,Neurodiagnostic Technologists,29,Healthcare Practitioners and Technical,0,0.55,1.5,13,1,9,5,1,9,3,14,1,7,1,5,3,5,9,5,7,2
29-9091,Athletic Trainers,29,Healthcare Practitioners and Technical,0,0.55,1.5,10,1,9,7,2,8,3,13,1,6,4,9,1,5,6,7,4,4
29-9092,Genetic Counselors,29,Healthcare Practitioners and Technical,0,0.55,1.5,14,1,13,6,1,7,3,20,3,9,1,6,2,5,4,5,0,0
29-9093,Surgical Assistants,29,Healthcare Practitioners and Technical,0,0.55,1.5,7,1,8,4,2,13,1,12,1,7,2,6,3,4,6,6,12,5
29-9099,Midwives,29,Healthcare Practitioners and Technical,0,0.55,1.5,9,1,7,6,2,10,2,15,1,8,2,6,4,5,8,5,6,3
31-1121,Home Health Aides,31,Healthcare Support,0,0.58,1.1,7,2,9,6,2,11,2,12,1,7,3,5,3,4,6,7,9,4
31-1122,Personal Care Aides,31,Healthcare Support,0,0.58,1.1,7,1,8,5,2,8,2,13,1,6,3,6,4,6,9,6,8,5
31-1131,Nursing Assistants,31,Healthcare Support,0,0.58,1.1,8,1,8,5,2,10,2,12,1,6,3,5,4,5,9,6,8,5
31-1132,Orderlies,31,Healthcare Support,0,0.58,1.1,6,2,8,4,1,11,1,12,1,8,1,3,3,5,5,7,15,7
31-1133,Psychiatric Aides,31,Healthcare Support,0,0.58,1.1,8,2,11,5,1,10,3,11,1,6,3,6,5,7,7,6,4,4
31-2011,Occupational Therapy Assistants,31,Healthcare Support,0,0.58,1.1,9,2,8,6,1,9,3,13,1,6,5,7,3,5,7,5,6,4
31-2012,Occupational Therapy Aides,31,Healthcare Support,0,0.58,1.1,9,1,6,6,1,8,1,15,1,6,3,5,4,6,10,5,8,5
31-2021,Physical Therapist Assistants,31,Healthcare Support,0,0.58,1.1,9,2,8,4,1,10,3,16,1,7,3,5,2,4,6,6,8,5
31-2022,Physical Therapist Aides,31,Healthcare Support,0,0.58,1.1,9,2,8,4,1,11,2,16,1,6,3,5,2,4,8,7,8,3
31-9011,Massage Therapists,31,Healthcare Support,0,0.58,1.1,8,1,9,5,1,9,2,16,1,8,3,7,3,3,6,7,5,6
31-9091,Dental Assistants,31,Healthcare Support,0,0.58,1.1,10,1,8,7,2,11,1,11,1,6,3,5,4,5,8,5,10,2
31-9092,Medical Assistants,31,Healthcare Support,0,0.58,1.1,14,1,9,6,2,9,2,10,1,8,3,6,2,4,7,4,9,3
31-9093,Medical Equipment Preparers,31,Healthcare Support,0,0.58,1.1,10,1,8,6,3,15,2,10,1,8,2,5,2,3,5,2,13,4
31-9094,Medical Transcriptionists,31,Healthcare Support,0,0.58,1.1,22,2,11,8,1,10,4,14,1,9,0,4,1,2,4,4,2,1
31-9095,Pharmacy Aides,31,Healthcare Support,0,0.58,1.1,9,1,9,4,3,11,1,14,1,5,3,5,6,5,9,4,8,2
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,31,Healthcare Support,0,0.58,1.1,11,1,6,5,2,9,3,15,1,5,2,5,5,4,6,4,11,5
31-9097,Phlebotomists,31,Healthcare Support,0,0.58,1.1,12,1,8,6,1,8,2,15,1,7,2,5,3,6,9,4,7,3
31-9099,Speech-Language Pathology Assistants,31,Healthcare Support,0,0.58,1.1,10,2,9,6,1,10,2,14,1,7,4,6,2,5,5,5,8,3
33-1011,First-Line Supervisors of Correctional Officers,33,Protective Service,0,0.58,1.3,11,1,6,6,2,9,2,11,1,8,2,5,5,7,11,3,6,4
33-1012,First-Line Supervisors of Police and Detectives,33,Protective Service,0,0.58,1.3,10,1,7,5,1,7,2,13,1,8,3,6,5,5,12,3,6,5
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,33,Protective Service,0,0.58,1.3,7,1,6,5,2,8,1,11,1,6,3,6,4,6,14,3,10,6
33-1091,First-Line Supervisors of Security Workers,33,Protective Service,0,0.58,1.3,9,2,6,5,1,10,2,12,1,7,2,7,4,6,14,2,6,4
33-2011,Firefighters,33,Protective Service,0,0.58,1.3,7,1,7,4,2,9,2,12,1,6,3,6,3,5,9,4,11,8
33-2021,Fire Inspectors and Investigators,33,Protective Service,0,0.58,1.3,10,1,8,6,2,9,2,18,1,9,2,5,3,3,7,2,7,5
33-2022,Forest Fire Inspectors and Prevention Specialists,33,Protective Service,0,0.58,1.3,7,1,6,5,2,10,2,13,1,6,2,7,3,5,10,2,10,8
33-3011,Bailiffs,33,Protective Service,0,0.58,1.3,8,1,8,4,1,12,2,15,1,6,2,6,6,5,8,4,6,5
33-3012,Correctional Officers and Jailers,33,Protective Service,0,0.58,1.3,10,1,7,5,1,8,2,10,1,7,3,7,5,6,13,3,7,4
33-3021,Detectives and Criminal Investigators,33,Protective Service,0,0.58,1.3,13,2,10,5,1,9,2,15,1,9,3,7,3,4,6,2,4,4
33-3031,Fish and Game Wardens,33,Protective Service,0,0.58,1.3,9,1,7,6,1,9,2,19,1,7,3,6,5,3,4,2,7,8
33-3041,Parking Enforcement Workers,33,Protective Service,0,0.58,1.3,10,1,7,5,1,10,2,14,1,7,3,5,3,5,6,3,11,6
33-3051,Police and Sheriff's Patrol Officers,33,Protective Service,0,0.58,1.3,12,1,8,4,2,11,2,15,1,8,2,6,4,4,7,2,6,5
33-3052,Transit and Railroad Police,33,Protective Service,0,0.58,1.3,11,1,7,4,1,9,2,16,1,6,2,7,5,5,8,3,4,8
33-9011,Animal Control Workers,33,Protective Service,0,0.58,1.3,10,1,7,6,1,7,2,17,1,8,3,6,4,4,8,2,6,7
33-9021,Private Detectives and Investigators,33,Protective Service,0,0.58,1.3,14,1,10,7,2,12,3,14,1,9,3,8,3,2,5,0,3,3
33-9031,Gambling Surveillance Officers and Gambling Investigators,33,Protective Service,0,0.58,1.3,14,2,10,5,2,13,3,11,1,9,3,6,2,5,6,1,6,1
33-9032,Security Guards,33,Protective Service,0,0.58,1.3,9,1,6,5,2,9,2,16,1,7,3,6,4,5,11,3,5,5
33-9091,Crossing Guards and Flaggers,33,Protective Service,0,0.58,1.3,6,2,9,5,2,10,1,16,1,7,2,6,5,4,4,6,7,7
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33,Protective Service,0,0.58,1.3,6,1,8,4,2,9,2,14,1,4,2,5,2,6,10,6,10,8
33-9093,Transportation Security Screeners,33,Protective Service,0,0.58,1.3,6,1,9,3,2,10,1,16,1,7,1,5,3,6,10,2,12,5
33-9099,Retail Loss Prevention Specialists,33,Protective Service,0,0.58,1.3,13,1,8,6,2,11,2,11,1,10,2,6,3,5,9,2,5,3
35-1011,Chefs and Head Cooks,35,Food Preparation and Serving Related,0,0.6,1.0,6,1,6,7,2,8,1,10,0,6,4,5,4,8,18,2,8,4
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,35,Food Preparation and Serving Related,0,0.6,1.0,8,1,7,6,2,9,1,13,1,7,3,4,5,6,13,2,9,3
35-2011,"Cooks, Fast Food",35,Food Preparation and Serving Related,0,0.6,1.0,7,1,8,4,1,11,1,14,1,5,4,6,5,6,10,1,10,5
35-2012,"Cooks, Institution and Cafeteria",35,Food Preparation and Serving Related,0,0.6,1.0,6,1,7,7,3,11,1,12,1,9,2,5,3,5,9,4,10,4
35-2013,"Cooks, Private Household",35,Food Preparation and Serving Related,0,0.6,1.0,8,1,9,8,3,10,1,12,0,5,5,6,5,3,9,2,7,6
35-2014,"Cooks, Restaurant",35,Food Preparation and Serving Related,0,0.6,1.0,6,1,7,5,2,15,0,8,0,5,2,5,2,6,10,1,18,7
35-2015,"Cooks, Short Order",35,Food Preparation and Serving Related,0,0.6,1.0,7,1,10,7,5,11,0,15,1,6,2,6,4,5,6,1,10,3
35-2021,Food Preparation Workers,35,Food Preparation and Serving Related,0,0.6,1.0,4,1,9,5,5,9,1,11,0,8,2,7,1,8,11,2,10,6
35-3011,Bartenders,35,Food Preparation and Serving Related,0,0.6,1.0,6,1,6,5,4,9,1,15,0,6,3,5,5,6,13,3,9,3
35-3023,Fast Food and Counter Workers,35,Food Preparation and Serving Related,0,0.6,1.0,6,2,7,5,2,9,1,18,1,4,2,5,7,5,8,3,11,4
35-3031,Waiters and Waitresses,35,Food Preparation and Serving Related,0,0.6,1.0,5,2,8,2,2,14,0,16,1,6,2,3,7,3,9,4,10,6
35-3041,"Food Servers, Nonrestaurant",35,Food Preparation and Serving Related,0,0.6,1.0,6,1,8,4,1,12,1,16,1,7,2,4,4,6,8,4,10,5
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,35,Food Preparation and Serving Related,0,0.6,1.0,7,2,6,6,2,9,1,17,1,4,3,5,6,6,11,4,8,2
35-9021,Dishwashers,35,Food Preparation and Serving Related,0,0.6,1.0,4,1,5,5,2,12,0,8,0,8,2,6,3,7,9,3,19,6
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35,Food Preparation and Serving Related,0,0.6,1.0,4,1,7,3,3,15,1,19,0,4,1,4,7,4,8,4,10,5
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,37,Building and Grounds Cleaning and Maintenance,0,0.6,1.0,8,1,6,6,2,7,1,11,1,6,3,5,4,7,16,3,10,3
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37,Building and Grounds Cleaning and Maintenance,0,0.6,1.0,6,1,6,7,2,9,1,11,1,6,4,5,3,5,15,1,11,6
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Building and Grounds Cleaning and Maintenance,0,0.6,1.0,7,2,6,7,2,9,1,10,1,6,3,7,3,5,12,2,12,5
37-2012,Maids and Housekeeping Cleaners,37,Building and Grounds Cleaning and Maintenance,0,0.6,1.0,5,2,7,7,1,8,1,15,1,5,2,4,3,5,9,5,12,8
37-2021,Pest Control Workers,37,Building and Grounds Cleaning and Maintenance,0,0.6,1.0,6,1,9,6,2,11,2,14,1,6,3,6,5,3,5,1,11,8
37-3011,Landscaping and Groundskeeping Workers,37,Building and Grounds Cleaning and Maintenance,0,0.6,1.0,2,1,10,7,2,8,0,8,0,5,4,6,2,5,6,4,21,9
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37,Building and Grounds Cleaning and Maintenance,0,0.6,1.0,6,1,7,5,2,11,2,13,1,6,2,5,4,4,7,2,13,9
37-3013,Tree Trimmers and Pruners,37,Building and Grounds Cleaning and Maintenance,0,0.6,1.0,3,1,8,4,2,12,0,8,1,6,3,6,2,4,5,2,21,12
39-1013,First-Line Supervisors of Gambling Services Workers,39,Personal Care and Service,0,0.58,1.1,11,2,7,5,1,8,2,18,1,7,1,5,5,6,12,2,5,2
39-1022,First-Line Supervisors of Personal Service Workers,39,Personal Care and Service,0,0.58,1.1,12,1,8,5,2,11,2,12,1,7,2,6,4,6,10,2,7,2
39-2011,Animal Trainers,39,Personal Care and Service,0,0.58,1.1,6,1,6,6,1,10,2,17,1,6,4,8,5,7,8,2,4,6
39-2021,Animal Caretakers,39,Personal Care and Service,0,0.58,1.1,8,2,9,6,1,12,2,14,1,5,3,6,3,4,5,3,9,7
39-3011,Gambling Dealers,39,Personal Care and Service,0,0.58,1.1,4,2,8,2,0,9,1,29,1,7,1,3,5,7,7,3,8,3
39-3012,Gambling and Sports Book Writers and Runners,39,Personal Care and Service,0,0.58,1.1,10,2,9,3,1,10,1,22,1,4,2,4,5,5,9,4,6,2
39-3021,Motion Picture Projectionists,39,Personal Care and Service,0,0.58,1.1,12,2,9,5,1,10,1,13,0,4,1,4,1,5,5,1,24,2
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",39,Personal Care and Service,0,0.58,1.1,7,1,9,3,1,9,1,23,1,4,2,4,7,5,8,4,9,2
39-3091,Amusement and Recreation Attendants,39,Personal Care and Service,0,0.58,1.1,9,1,8,5,1,8,1,20,1,5,4,5,5,6,6,3,8,4
39-3092,Costume Attendants,39,Personal Care and Service,0,0.58,1.1,6,2,8,6,3,11,1,11,1,4,7,7,2,3,10,3,11,4
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",39,Personal Care and Service,0,0.58,1.1,2,1,12,3,1,14,0,25,0,3,2,4,5,3,8,3,8,6
39-4011,Embalmers,39,Personal Care and Service,0,0.58,1.1,11,1,8,5,2,10,3,15,1,6,2,6,2,2,5,5,10,6
39-4021,Funeral Attendants,39,Personal Care and Service,0,0.58,1.1,6,2,7,3,1,9,1,22,1,4,2,4,2,3,6,7,11,9
39-4031,"Morticians, Undertakers, and Funeral Arrangers",39,Personal Care and Service,0,0.58,1.1,10,1,7,8,1,6,2,16,1,6,3,5,5,2,10,4,8,5
39-5011,Barbers,39,Personal Care and Service,0,0.58,1.1,3,0,7,5,2,8,0,19,0,7,6,6,4,2,5,5,15,6
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",39,Personal Care and Service,0,0.58,1.1,6,1,8,6,2,7,1,17,1,6,5,5,8,5,8,4,6,4
39-5091,"Makeup Artists, Theatrical and Performance",39,Personal Care and Service,0,0.58,1.1,7,2,9,8,1,9,1,14,0,4,6,7,4,5,12,3,5,3
39-5092,Manicurists and Pedicurists,39,Personal Care and Service,0,0.58,1.1,4,1,8,6,2,8,1,19,1,5,5,2,8,5,8,5,8,4
39-5093,Shampooers,39,Personal Care and Service,0,0.58,1.1,5,2,7,6,2,11,1,17,1,4,3,4,7,4,9,5,8,4
39-5094,Skincare Specialists,39,Personal Care and Service,0,0.58,1.1,8,1,7,8,2,9,1,12,0,8,3,4,7,5,8,5,9,3
39-6011,Baggage Porters and Bellhops,39,Personal Care and Service,0,0.58,1.1,7,1,7,5,1,9,1,15,1,6,2,4,4,5,7,4,13,8
39-6012,Concierges,39,Personal Care and Service,0,0.58,1.1,10,1,10,6,2,8,2,17,1,7,4,6,4,5,10,4,2,1
39-7011,Tour Guides and Escorts,39,Personal Care and Service,0,0.58,1.1,6,2,13,4,1,11,1,29,2,4,3,5,2,5,5,2,3,2
39-7012,Travel Guides,39,Personal Care and Service,0,0.58,1.1,7,1,8,5,2,13,2,16,1,4,5,7,5,4,6,3,7,4
39-9011,Childcare Workers,39,Personal Care and Service,0,0.58,1.1,5,1,8,8,1,8,1,11,1,5,5,8,5,6,8,7,6,6
39-9031,Exercise Trainers and Group Fitness Instructors,39,Personal Care and Service,0,0.58,1.1,5,1,10,6,1,6,1,16,1,6,5,6,4,9,5,4,8,6
39-9032,Recreation Workers,39,Personal Care and Service,0,0.58,1.1,10,1,7,7,2,8,2,14,1,7,4,6,4,5,12,2,5,3
39-9041,Residential Advisors,39,Personal Care and Service,0,0.58,1.1,10,1,6,8,2,10,2,12,1,7,2,6,4,5,11,6,5,2
41-1011,First-Line Supervisors of Retail Sales Workers,41,Sales and Related,0,0.5,1.3,7,1,6,6,1,9,1,17,1,6,1,6,7,9,14,2,4,2
